SteamSpyPlayersEstimate,SteamSpyPlayersEstimate_log,DLCCount_log,PriceFinal_log,PCReqsHaveMin,PriceCurrency,PublisherCountCat,RecommendationCount
92724,11.437393402357792,0.0,1.790091412127358,1,USD,0,510
1116451,13.925666357846922,0.6931471805599453,2.3969857684155302,1,USD,0,8176
1116451,13.925666357846922,0.6931471805599453,2.3969857684155302,1,USD,0,8176
365156,12.808082677068535,0.0,2.63834278867739,1,USD,0,377
295568,12.596657591108887,0.0,2.771963526845863,1,USD,0,782
414477,12.934775176153732,0.0,2.771963526845863,1,USD,0,2834
128235,11.76162759528106,0.0,3.0440461338325413,1,USD,0,438
1148734,13.9541718948954,0.0,2.3969857684155302,1,USD,0,6867
136126,11.821343552505658,0.0,2.3969857684155302,1,USD,0,219
17756,9.784535083358834,0.0,2.3969857684155302,1,USD,0,0
9147,9.121290555142672,0.0,2.3969857684155302,1,USD,0,0
31207,10.348429751186492,0.0,1.790091412127358,1,USD,1,450
23315,10.056895099165441,0.6931471805599453,2.771963526845863,1,USD,0,0
154420,11.947437917686937,0.0,2.3969857684155302,1,USD,0,1518
389727,12.873204338886836,0.0,3.0440461338325413,1,USD,0,5972
46810,10.753873497022564,1.3862943611198906,1.3837912309017721,1,USD,0,670
4842,8.48528964240323,0.0,1.9444805562457188,1,USD,0,0
5560,8.623533227187565,0.0,2.3969857684155302,1,USD,0,0
10402,9.249849505070895,0.0,2.0781907597781832,1,USD,0,0
8609,9.060679597421776,0.6931471805599453,2.3969857684155302,1,USD,0,105
28875,10.270766079259051,0.0,3.0440461338325413,1,USD,0,0
32283,10.382327030444262,0.0,3.0440461338325413,1,USD,0,103
3049,8.022896869601457,0.0,1.790091412127358,1,USD,0,0
49142,10.80248969427274,0.0,3.0440461338325413,1,USD,0,571
7533,8.927181388251986,0.0,1.790091412127358,1,USD,0,0
368563,12.817369652600611,0.0,3.0440461338325413,1,USD,0,2122
4593143,15.340075314873944,1.0986122886681096,3.0440461338325413,1,USD,1,22223
4593143,15.340075314873944,1.0986122886681096,3.0440461338325413,1,USD,1,22223
66359,11.10284974430438,0.0,2.771963526845863,1,USD,0,1045
3408,8.134174272137903,0.0,2.3969857684155302,1,USD,0,0
7533,8.927181388251986,0.0,2.3969857684155302,1,USD,0,0
5919,8.68609172787805,0.0,2.3969857684155302,1,USD,0,0
57213,10.954553902664966,0.0,2.3969857684155302,1,USD,0,480
8250,9.018089684104343,0.0,2.771963526845863,1,USD,0,0
539,6.29156913955832,0.0,0.0,1,missing,0,0
28875,10.270766079259051,0.0,2.771963526845863,1,USD,0,0
1396775,14.149677281789277,0.0,0.0,1,missing,0,5077
24750,10.11662117122102,0.0,2.3969857684155302,1,USD,0,0
24212,10.094644957992482,0.0,0.0,1,missing,0,125
29413,10.28922603046026,0.0,2.3969857684155302,1,USD,0,131
21343,9.96852594871535,0.0,2.3969857684155302,1,USD,0,0
13272,9.493487175626202,0.0,2.3969857684155302,1,USD,0,0
37305,10.526909450604508,0.0,2.3969857684155302,1,USD,0,257
147425,11.901081633955755,0.0,2.3969857684155302,1,USD,0,465
37484,10.531696131937162,0.0,1.3837912309017721,1,USD,0,519
49859,10.816974357077548,0.0,1.790091412127358,1,USD,0,557
18832,9.843365929194746,0.0,2.196112848483529,1,USD,0,0
24033,10.087224773471245,0.0,2.196112848483529,1,USD,0,0
