DemoCount,DeveloperCount,DLCCount,Metacritic,MovieCount,PackageCount,RecommendationCount,PublisherCount,SteamSpyOwners,SteamSpyOwnersVariance,SteamSpyPlayersEstimate,SteamSpyPlayersVariance,AchievementCount,PlatformWindows,PlatformLinux,PlatformMac,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeSrcSDK,CategoryIncludeLevelEditor,CategoryVRSupport,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,HasDemo,MultipleDevs,DLCCountCat,Metacritic_Bins,MovieCountCat,PackageCategory,PublisherCategory,HasDiscount,HasEnglish,LanguageCount,HasSupportURL,HasSupportEmail,IsComWebsite,IsHttpWebsite
0,1,0,94,0,2,1266,1,340047,15256,181860,11159,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0,0,0,4,0,> 1,<= 1,0,1,1,1,0,0,0
1,1,0,0,0,2,660,1,318525,14766,140969,9825,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,1,0,0,0,0,> 1,<= 1,0,1,1,0,0,0,0
0,1,0,0,0,2,0,1,278171,13800,22239,3903,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.99,2.99,0,0,0,0,0,> 1,<= 1,0,1,1,0,0,0,0
1,1,0,69,1,2,0,1,317987,14753,51115,5917,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.99,14.99,1,0,0,2,0,> 1,<= 1,0,1,1,0,0,0,0
0,1,0,0,0,2,158,1,184551,11241,37305,5055,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0,0,0,0,0,> 1,<= 1,0,1,1,0,0,0,0
0,1,0,0,0,2,241,1,185089,11258,46452,5641,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0,0,0,0,0,> 1,<= 1,0,1,1,0,0,0,0
0,1,0,76,1,1,5026,1,1364671,30520,928313,25187,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,9.99,9.99,0,0,0,3,0,1,<= 1,0,1,8,1,1,0,1
0,1,0,0,1,1,706,1,1327366,30101,366411,15836,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,<= 1,0,1,8,0,0,0,1
0,1,0,73,1,1,716,1,116936,8949,90392,7868,12,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,0,0,0,2,0,1,<= 1,0,1,1,0,0,0,0
1,1,0,69,1,1,0,1,72637,7053,17397,3452,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99,1,0,0,2,0,1,<= 1,0,1,3,0,0,1,1
1,1,0,0,1,1,291,1,137920,9719,34614,4869,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99,1,0,0,0,0,1,<= 1,0,1,1,0,0,0,0
1,1,0,0,1,1,291,1,137920,9719,34614,4869,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99,1,0,0,0,0,1,<= 1,0,1,1,0,0,0,0
1,1,0,0,1,1,291,1,137920,9719,34614,4869,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99,1,0,0,0,0,1,<= 1,0,1,1,0,0,0,0
1,1,0,61,0,0,129,0,63310,6585,19908,3693,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1,0,0,1,0,0,<= 1,0,1,1,0,0,0,0
1,1,0,59,1,2,984,1,312427,14624,64207,6632,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,1,0,0,1,0,> 1,<= 1,0,1,1,1,0,1,1
0,1,0,80,0,1,3983,1,544326,19297,407303,16695,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99,0,0,0,3,0,1,<= 1,0,1,3,1,0,1,1
0,1,0,76,1,1,351,1,70664,6957,43044,5430,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99,0,0,0,3,0,1,<= 1,0,1,1,0,0,0,0
0,1,0,91,0,4,851,1,223470,12369,158007,10402,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99,0,0,0,4,0,> 1,<= 1,0,1,2,1,0,1,1
0,2,0,86,0,4,1307,2,340226,15260,255573,13228,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99,0,1,0,4,0,> 1,> 1,0,1,5,1,0,1,1
0,1,0,87,0,4,318,1,189034,11377,96311,8122,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99,0,0,0,4,0,> 1,<= 1,0,1,3,1,0,1,1
0,2,0,81,1,2,2579,2,799182,23374,722779,22231,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,19.99,19.99,0,1,0,4,0,> 1,> 1,0,1,10,1,1,0,1
0,1,0,82,0,1,109,1,22598,3934,15962,3306,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.99,2.99,0,0,0,4,0,1,<= 1,0,1,1,0,0,0,1
0,1,0,74,1,1,181,1,45196,5564,28158,4392,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.99,7.99,0,0,0,2,0,1,<= 1,0,1,1,0,1,1,1
0,1,0,72,1,3,183,1,231540,12591,54881,6131,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99,4.99,0,0,0,2,0,> 1,<= 1,0,1,12,1,0,0,1
0,1,1,71,2,4,280,1,357802,15649,139713,9781,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99,0,0,1,2,1,> 1,<= 1,0,1,16,0,0,0,1
0,1,3,73,8,5,1262,1,544147,19294,319960,14799,33,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,15.99,15.99,0,0,2,2,2,> 1,<= 1,0,1,17,0,1,0,1
0,1,0,67,1,3,136,1,206611,11894,54522,6111,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4.99,4.99,0,0,0,2,0,> 1,<= 1,0,1,6,0,0,0,1
0,1,0,0,1,3,0,1,199975,11702,26006,4220,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4.99,4.99,0,0,0,0,0,> 1,<= 1,0,1,6,0,0,0,1
1,1,2,33,3,5,5637,1,218806,12240,200513,11717,69,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,29.99,29.99,1,0,2,1,2,> 1,<= 1,0,1,14,1,1,0,1
0,1,0,0,0,3,0,1,40354,5257,16321,3343,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99,0,0,0,0,0,> 1,<= 1,0,1,1,1,0,0,0
0,1,0,0,0,3,0,1,40712,5281,17576,3470,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99,0,0,0,0,0,> 1,<= 1,0,1,1,1,0,0,0
